etf_code,etf_name,fund_manager,tracking_index,exchange,listing_date,delisting_date,status,share_unit,currency,source,valid_from,valid_to
510300,沪深300ETF华泰柏瑞,华泰柏瑞,沪深300,SH,20120528,,LISTED,份,CNY,MANUAL_REGISTRY+EV006,2026-08-02,
510310,沪深300ETF易方达,易方达,沪深300,SH,20130325,,LISTED,份,CNY,MANUAL_REGISTRY+EV010,2026-08-02,
510330,沪深300ETF华夏,华夏,沪深300,SH,,,LISTED,份,CNY,MANUAL_REGISTRY+EV004,2026-08-02,
159919,沪深300ETF嘉实,嘉实,沪深300,SZ,20120528,,LISTED,份,CNY,MANUAL_REGISTRY+EV008,2026-08-02,
510050,上证50ETF华夏,华夏,上证50,SH,20050223,,LISTED,份,CNY,MANUAL_REGISTRY+EV007,2026-08-02,
510500,中证500ETF南方,南方,中证500,SH,20130315,,LISTED,份,CNY,MANUAL_REGISTRY+EV011,2026-08-02,
159845,中证1000ETF华夏,华夏,中证1000,SZ,20210331,,LISTED,份,CNY,MANUAL_REGISTRY+EV004,2026-08-02,
