internal_instrument_id,share_class_id,security_code,exchange,listing_date,delisting_date,valid_from,valid_to
INST-510300,SHARE-510300,510300,SH,20120528,,2026-08-02,
INST-510310,SHARE-510310,510310,SH,20130325,,2026-08-02,
INST-510330,SHARE-510330,510330,SH,,,2026-08-02,
INST-159919,SHARE-159919,159919,SZ,20120528,,2026-08-02,
INST-510050,SHARE-510050,510050,SH,20050223,,2026-08-02,
INST-510500,SHARE-510500,510500,SH,20130315,,2026-08-02,
INST-159845,SHARE-159845,159845,SZ,20210331,,2026-08-02,
